name,url,memo
グラーサ中野坂上 7階（2LDK）,https://suumo.jp/jj/bukken/shosai/JJ010FJ100/?ar=030&bs=011&nc=21063402&snckmail=20260615&sfmail_tp=snckmail_011&jobid=5983886&vos=jzal3015036z000zzz260615_sfmail.0000013391-seq.k:1014110143,9500万円
ヴェルティ中野 4階（2LDK）,https://suumo.jp/jj/bukken/shosai/JJ010FJ100/?ar=030&bs=011&nc=20980082&snckmail=20260610&sfmail_tp=snckmail_011&jobid=5980006&vos=jzal3015036z000zzz260610_sfmail.0000013391-seq.k:1014110143,8390万円
ライオンズマンション中野坂上シティ 3階（2LDK）,https://suumo.jp/jj/bukken/shosai/JJ010FJ100/?ar=030&bs=011&nc=21015035&snckmail=20260607&sfmail_tp=snckmail_011&jobid=5977528&vos=jzal3015036z000zzz260607_sfmail.0000013339-seq.k:1014110143,9499万円
ヴェルティ中野 6階（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20963083/,9398万円・66.66㎡・中野坂上駅徒歩5分・リノベ済み角住戸
フィールM西新宿 9階（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20258645/,9780万円・65.62㎡・西新宿五丁目駅徒歩1分・南東向き角住戸・地代1.19万円/月あり
シティハウス新宿柏木 5階（2LDK）,https://www.stepon.co.jp/mansion/detail_A6123016/,8980万円・55.66㎡・2004年築・角住戸・バルコニー17.76㎡
リビオ中野坂上パークフロント（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_21053852/,6999万円・36.37㎡・中野坂上駅徒歩9分・2017年築
クレストフォルム中野弥生町（2LDK+S）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20927594/,9380万円・67.16㎡・中野新橋駅徒歩8分・2007年築
クレベール西新宿フォレストマンション（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_21121969/,7380万円・48.6㎡・初台駅徒歩6分・西新宿4丁目
サンハイツ中野（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20901566/,7480万円・67.03㎡・中野駅徒歩2分・リノベ向き候補
シャンボール新中野（3LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_21020982/,8680万円・76.24㎡・新中野駅徒歩6分・広め3LDK
ヴェルテイ中野（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_21094687/,9298万円・66.66m 2 （壁芯）・東京メトロ丸ノ内線「中野坂上」徒歩5分・1993年2月・アムフラット702売却比較候補
ガラ・グランディ西新宿（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20908751/,9399万円・45.47m 2 （13.75坪）（壁芯）・都営大江戸線「西新宿五丁目」徒歩4分・2005年8月・アムフラット702売却比較候補
ヒルズ中野坂上新都心グランステージ（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_21128243/,1億1500万円・68.99m 2 （壁芯）・都営大江戸線「中野坂上」徒歩5分・1998年12月・アムフラット702売却比較候補
ディアレイシャス中野新橋（2LDK）,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_21333218/,7980万円・51.87m 2 （壁芯）・東京メトロ丸ノ内線「中野新橋」徒歩4分・2014年9月・アムフラット702売却比較候補
